symbol,exchange,vtSymbol,date,time,open,high,low,close,volume
IF99,,IF99,20140924,00:00:00,2406.3883,2473.6141,2396.7268,2472.2889,1095229.0
IF99,,IF99,20140925,00:00:00,2479.4641,2500.3279,2449.4211,2459.0361,1041047.0
IF99,,IF99,20140926,00:00:00,2451.3009,2468.6485,2439.3319,2454.853,890089.0
IF99,,IF99,20140929,00:00:00,2454.766,2466.4693,2444.3655,2458.9211,646520.0
IF99,,IF99,20140930,00:00:00,2462.9348,2470.646,2449.6418,2457.7119,594468.0
IF99,,IF99,20141008,00:00:00,2469.9923,2490.3191,2451.482,2488.1453,736785.0
IF99,,IF99,20141009,00:00:00,2491.3592,2499.6646,2472.2682,2480.3664,702168.0
IF99,,IF99,20141010,00:00:00,2473.8165,2487.8955,2461.9599,2474.2573,772947.0
IF99,,IF99,20141013,00:00:00,2471.4534,2472.7407,2430.6221,2459.1554,810049.0
IF99,,IF99,20141014,00:00:00,2454.9347,2468.0386,2428.7948,2443.1389,845913.0
IF99,,IF99,20141015,00:00:00,2445.1458,2469.1065,2431.1733,2459.8059,1023140.0
IF99,,IF99,20141016,00:00:00,2452.2851,2483.4476,2444.1903,2452.1015,1199645.0
IF99,,IF99,20141017,00:00:00,2455.6768,2464.2543,2427.4654,2446.5731,1027551.0
IF99,,IF99,20141020,00:00:00,2456.0069,2461.7594,2444.5072,2455.9868,682608.0
IF99,,IF99,20141021,00:00:00,2456.0968,2465.7365,2438.3613,2441.4434,791870.0
IF99,,IF99,20141022,00:00:00,2444.4725,2455.0993,2428.5031,2430.7382,748913.0
IF99,,IF99,20141023,00:00:00,2428.7876,2438.6522,2404.8491,2407.7386,867759.0
IF99,,IF99,20141024,00:00:00,2409.978,2415.7722,2396.5042,2399.1501,656563.0
IF99,,IF99,20141027,00:00:00,2393.6705,2394.2647,2370.5717,2383.2904,754631.0
IF99,,IF99,20141028,00:00:00,2385.4288,2430.4407,2385.3021,2428.0803,785989.0
IF99,,IF99,20141029,00:00:00,2431.6777,2473.6317,2426.1412,2460.2618,953511.0
IF99,,IF99,20141030,00:00:00,2461.3197,2475.9126,2454.5851,2471.7856,904396.0
IF99,,IF99,20141031,00:00:00,2475.4041,2527.1817,2473.1668,2525.6773,1211598.0
IF99,,IF99,20141103,00:00:00,2527.5734,2532.152,2511.0488,2513.9941,731421.0
IF99,,IF99,20141104,00:00:00,2510.6511,2520.5975,2506.8364,2513.7228,675448.0
IF99,,IF99,20141105,00:00:00,2515.1413,2527.2998,2503.058,2517.7798,811618.0
IF99,,IF99,20141106,00:00:00,2520.9738,2523.9818,2492.1483,2520.6309,900900.0
IF99,,IF99,20141107,00:00:00,2523.8952,2553.1188,2489.9046,2499.9266,1317110.0
IF99,,IF99,20141110,00:00:00,2522.3409,2572.9735,2512.3248,2569.0546,1222513.0
IF99,,IF99,20141111,00:00:00,2572.879,2595.6571,2536.5381,2554.1424,1540582.0
IF99,,IF99,20141112,00:00:00,2555.9635,2595.3335,2548.3999,2588.8557,1122691.0
IF99,,IF99,20141113,00:00:00,2589.1354,2593.7464,2566.4974,2575.8489,1210059.0
IF99,,IF99,20141114,00:00:00,2573.8652,2583.3441,2554.5138,2583.2882,1048237.0
IF99,,IF99,20141117,00:00:00,2599.6441,2619.1062,2565.5511,2572.6639,1329870.0
IF99,,IF99,20141118,00:00:00,2572.9829,2576.0517,2541.3741,2549.8689,977317.0
IF99,,IF99,20141119,00:00:00,2550.3507,2558.2911,2537.9759,2541.5053,867854.0
IF99,,IF99,20141120,00:00:00,2536.8976,2555.4429,2527.8414,2554.8454,948654.0
IF99,,IF99,20141121,00:00:00,2555.0902,2607.7258,2541.6989,2605.9525,1179710.0
IF99,,IF99,20141124,00:00:00,2626.703,2701.542,2620.4537,2678.7761,1371888.0
IF99,,IF99,20141125,00:00:00,2683.8724,2732.3559999999998,2675.0582,2729.5267,1075368.0
IF99,,IF99,20141126,00:00:00,2730.0078,2755.5949,2718.4142,2750.4924,1307171.0
IF99,,IF99,20141127,00:00:00,2752.6045,2770.9671,2732.0625,2758.5812,1184754.0
IF99,,IF99,20141128,00:00:00,2757.3352,2835.4554,2745.3297,2829.0712,1299202.0
IF99,,IF99,20141201,00:00:00,2823.5170000000003,2846.7322,2800.6639,2812.8183,1214035.0
IF99,,IF99,20141202,00:00:00,2810.5161,2992.1127,2808.8315,2939.8216,1968113.0
IF99,,IF99,20141203,00:00:00,2948.1288,3066.211,2943.4634,3001.2204,2303389.0
IF99,,IF99,20141204,00:00:00,3006.9493,3204.6632,3006.7827,3201.788,2159674.0
IF99,,IF99,20141205,00:00:00,3216.9309999999996,3268.0841,3115.6767,3193.1841,2413050.0
IF99,,IF99,20141208,00:00:00,3183.5806,3360.4008,3144.8413,3337.7665,2049584.0
IF99,,IF99,20141209,00:00:00,3325.0605,3483.2598,3012.5218,3152.6796,2930128.0
IF99,,IF99,20141210,00:00:00,3167.6389,3322.2654,3138.3673,3251.9216,2501205.0
IF99,,IF99,20141211,00:00:00,3226.1853,3308.7421,3201.002,3235.0548,2041015.0
IF99,,IF99,20141212,00:00:00,3243.6765,3327.4651,3222.3592,3251.2341,1758553.0
IF99,,IF99,20141215,00:00:00,3237.1396,3311.2175,3207.2751,3279.9676,1404741.0
IF99,,IF99,20141216,00:00:00,3282.7425,3384.8752,3276.9138,3377.2596,1886856.0
IF99,,IF99,20141217,00:00:00,3407.3639,3493.8135,3383.71,3492.2407,2230010.0
IF99,,IF99,20141218,00:00:00,3523.0144,3559.9096,3471.4905,3515.752,1802071.0
IF99,,IF99,20141219,00:00:00,3536.4114,3551.4559999999997,3406.757,3531.7973,1784296.0
IF99,,IF99,20141222,00:00:00,3534.449,3542.2433,3416.9377,3420.0876,1810607.0
IF99,,IF99,20141223,00:00:00,3421.2928,3490.6923,3334.3152,3335.5217,1792205.0
IF99,,IF99,20141224,00:00:00,3337.6097,3373.6302,3211.9134,3279.3183,1997078.0
IF99,,IF99,20141225,00:00:00,3293.1933,3403.6293,3272.6963,3401.5936,1940099.0
IF99,,IF99,20141226,00:00:00,3403.7716,3539.261,3375.9887,3508.8597,2000158.0
IF99,,IF99,20141229,00:00:00,3545.7793,3622.2859999999996,3436.8883,3502.5308,1932218.0
IF99,,IF99,20141230,00:00:00,3507.5169,3564.3242,3473.1683,3516.8781,2044955.0
IF99,,IF99,20141231,00:00:00,3519.6185,3628.8106,3512.5326,3626.1489,1526454.0
IF99,,IF99,20150105,00:00:00,3646.5304,3809.7435,3625.2256,3713.1272,1500643.0
IF99,,IF99,20150106,00:00:00,3707.8397,3755.8379,3660.6132,3705.1891,1737699.0
IF99,,IF99,20150107,00:00:00,3710.1966,3732.3885,3666.3246,3715.8094,1475006.0
IF99,,IF99,20150108,00:00:00,3728.4275,3734.6202,3608.1439,3613.3846,1807466.0
IF99,,IF99,20150109,00:00:00,3622.276,3769.3151,3564.2765,3579.1188,2038525.0
IF99,,IF99,20150112,00:00:00,3607.058,3621.8393,3508.9165,3587.5759,1539983.0
IF99,,IF99,20150113,00:00:00,3589.8836,3617.2452,3556.9302,3583.7662,1349288.0
IF99,,IF99,20150114,00:00:00,3590.1793,3619.0377,3530.4871,3566.5614,1382198.0
IF99,,IF99,20150115,00:00:00,3574.6737,3713.2884,3555.2832,3710.3204,1766348.0
IF99,,IF99,20150116,00:00:00,3721.1268,3745.5264,3694.4474,3700.4278,1511496.0
IF99,,IF99,20150119,00:00:00,3573.9737,3573.9737,3344.5509,3345.277,1297466.0
